2009-07-14  01:09:30         oleaut32.dll.x86           6.1.7600.16385
2009-07-14  01:09:31         olecli32.dll.x86           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:09:36         olepro32.dll.x86           6.1.7600.16385
2009-07-14  01:09:38         olesvr32.dll.x86           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:09:39         olethk32.dll.x86           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:09:43         rasapi32.dll.x86           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:10:25         shell32.dll.x86            6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:10:36         secur32.dll.x86            6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:11:20         gdi32.dll.x86              6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:11:23         ntdll.dll.x86              6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:11:24         user32.dll.x86             6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:11:31         wtsapi32.dll.x86           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:11:38         ws2_32.dll.x86             6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:11:46         wintrust.dll.x86           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:12:03         wsock32.dll.x86            6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:14:06         kernel32.dll.x86           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:14:07         kernelbase.dll.x86         6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:24:59         advapi32.dll.x86_64        6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:27:29         gdi32.dll.x86_64           6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:28:50         mapi32.dll.x86_64          1.0.2536.0       (win7_rtm.090713-1255)
2009-07-14  01:28:58         logoncli.dll.x86_64        6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:29:52         crypt32.dll.x86_64         6.1.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:30:36         msvcirt.dll.x86_64         7.0.7600.16385   (win7_rtm.090713-1255)
2009-07-14  01:30:38         msvcrt.dll.x86_64          7.0.7600.16385   (win7_rtm.090713-1255)
