# Intel microcode versions: CPUID, microcode version, release date.
# Official source: https://downloadcenter.intel.com/download/27337/Linux-Processor-Microcode-Data-File?v=t
#
# From a live Linux system:
#   bsdtar -Oxf /boot/intel-ucode.img | iucode_tool -tb -l - | sed 's/^\s*\S*: sig \(0x[0-9a-f]\+\), pf_mask 0x[0-9a-f]\+, \([0-9-]\+\), rev \(0x[0-9a-f]\+\), size \S\+$/\1 \3 \2/' | column -t
#
# From https://github.com/intel/Intel-Linux-Processor-Microcode-Data-Files:
#   find Intel-Linux-Processor-Microcode-Data-Files-microcode* -type f -exec iucode_tool -tb -l {} \; 2> /dev/null | grep -v -e '^microcode bundle ' -e '^selected microcodes:' | sed 's/^\s*\S*: sig \(0x[0-9a-f]\+\), pf_mask 0x[0-9a-f]\+, \([0-9-]\+\), rev \(0x[0-9a-f]\+\), size \S\+$/\1 \3 \2/' | column -t | LANG=C sort -u
#
# And from https://github.com/platomav/CPUMicrocodes

0x00000611       0xb27  1996-12-18
0x00000612        0xc6  1996-12-10
0x00000616        0xc6  1996-12-10
0x00000617        0xc6  1996-12-10
0x00000619        0xd2  1998-02-18
0x00000630        0x13  1996-08-27
0x00000632        0x20  1996-09-03
0x00000633        0x36  1998-09-23
0x00000634        0x37  1998-09-23
0x00000650        0x19  1997-12-12
0x00000650        0x24  1998-01-16
0x00000650        0x2e  1998-02-11
0x00000650        0x2f  1998-02-11
0x00000650        0x40  1999-05-25
0x00000650        0x41  1999-05-25
0x00000650        0x44  1999-05-25
0x00000650        0x45  1999-05-25
0x00000651        0x40  1999-05-25
0x00000651        0x41  1999-05-25
0x00000651        0x42  1999-05-25
0x00000652        0x2a  1999-05-12
0x00000652        0x2b  1999-05-12
0x00000652        0x2c  1999-05-17
0x00000652        0x2d  1999-05-18
0x00000653         0xb  1999-05-20
0x00000653         0xc  1999-05-18
0x00000653         0xd  1999-05-18
0x00000653        0x10  1999-06-28
0x00000660         0xa  1999-05-05
0x00000665         0x3  1999-05-05
0x0000066a         0xb  1999-05-05
0x0000066a         0xc  1999-05-05
0x0000066a         0xd  1999-05-05
0x0000066d         0x5  1999-03-12
0x0000066d         0x6  1999-03-12
0x0000066d         0x7  1999-05-05
0x00000670         0x6  1998-05-28
0x00000670         0x7  1998-06-02
0x00000671         0x3  1998-08-11
0x00000671        0x14  1998-08-11
0x00000672        0x10  1999-09-22
0x00000672        0x38  1999-09-22
0x00000673         0xe  1999-09-10
0x00000673        0x2e  1999-09-10
0x00000680        0x14  1999-06-10
0x00000680        0x15  1999-06-10
0x00000680        0x16  1999-06-10
0x00000680        0x17  1999-06-10
0x00000681         0xd  1999-09-21
0x00000681         0xe  1999-09-21
0x00000681         0xf  1999-09-21
0x00000681        0x10  1999-09-21
0x00000681        0x11  1999-09-21
0x00000681        0x14  1999-12-09
0x00000683         0x7  1999-10-15
0x00000683         0x8  1999-10-15
0x00000683        0x10  2001-02-06
0x00000683        0x13  2001-02-06
0x00000683        0x14  2001-02-06
0x00000686         0x2  2000-05-04
0x00000686         0x7  2000-05-05
0x00000686         0x8  2000-05-05
0x00000686         0x9  2000-05-04
0x00000686         0xa  2000-05-04
0x00000686         0xb  2000-05-04
0x00000686         0xc  2000-05-04
0x0000068a         0x1  2000-11-02
0x0000068a         0x4  2000-12-07
0x0000068a         0x5  2000-12-07
0x00000690         0x4  2000-02-06
0x00000691         0x1  2002-05-27
0x00000691         0x2  2000-02-07
0x00000692         0x1  2002-06-20
0x00000692         0x3  2000-03-22
0x00000694         0x2  2002-09-26
0x00000695         0x7  2004-11-09
0x00000695        0x47  2004-11-09
0x00000696         0x1  2000-07-07
0x000006a0         0x3  2000-01-10
0x000006a1         0x1  2000-03-06
0x000006a4         0x1  2000-06-16
0x000006b0         0x4  2000-11-15
0x000006b0        0x19  2001-01-29
0x000006b0        0x1a  2001-01-29
0x000006b1        0x1c  2001-02-15
0x000006b1        0x1d  2001-02-20
0x000006b4         0x1  2002-01-10
0x000006b4         0x2  2002-01-11
0x000006d0         0x6  2003-05-22
0x000006d1         0x9  2003-07-09
0x000006d2        0x10  2003-08-14
0x000006d6        0x18  2004-10-17
0x000006d8        0x20  2004-07-22
0x000006d8        0x21  2006-08-31
0x000006e0         0x8  2005-02-15
0x000006e1         0xc  2005-04-13
0x000006e4        0x26  2005-08-16
0x000006e8        0x33  2005-09-25
0x000006e8        0x39  2005-11-15
0x000006e8        0x3c  2006-02-08
0x000006ec        0x54  2006-05-01
0x000006ec        0x55  2006-05-01
0x000006ec        0x56  2006-06-22
0x000006ec        0x59  2006-09-12
0x000006ec        0x5b  2007-02-08
0x000006f0         0x5  2005-08-18
0x000006f1        0x12  2005-11-29
0x000006f2        0x57  2007-03-15
0x000006f2        0x5a  2007-09-26
0x000006f2        0x5c  2010-10-02
0x000006f2        0x5d  2010-10-02
0x000006f4        0x28  2006-04-17
0x000006f5        0x33  2006-05-01
0x000006f5        0x36  2006-05-23
0x000006f5        0x38  2006-07-25
0x000006f5        0x39  2006-07-27
0x000006f6        0x4a  2006-06-27
0x000006f6        0xc7  2007-03-15
0x000006f6        0xcb  2007-09-16
0x000006f6        0xcc  2007-09-16
0x000006f6        0xcd  2007-09-16
0x000006f6        0xd0  2010-09-30
0x000006f6        0xd1  2010-10-01
0x000006f6        0xd2  2010-10-01
0x000006f7        0x68  2007-09-16
0x000006f7        0x69  2007-09-17
0x000006f7        0x6a  2010-10-02
0x000006f7        0x6b  2010-10-02
0x000006f9        0x82  2006-09-03
0x000006f9        0x83  2006-09-28
0x000006f9        0x84  2006-10-12
0x000006fa        0x92  2007-03-13
0x000006fa        0x94  2007-09-24
0x000006fa        0x95  2010-10-02
0x000006fb        0xb6  2007-07-13
0x000006fb        0xb7  2007-08-06
0x000006fb        0xb8  2009-04-28
0x000006fb        0xb9  2009-05-11
0x000006fb        0xba  2010-10-03
0x000006fb        0xbb  2010-10-03
0x000006fb        0xbc  2010-10-03
0x000006fb        0xc1  2011-10-04
0x000006fd        0xa3  2007-08-13
0x000006fd        0xa4  2010-10-02
0x00000f05         0xb  2000-08-24
0x00000f05         0xc  2000-08-24
0x00000f06         0x4  2000-09-11
0x00000f07         0x8  2000-11-15
0x00000f07        0x12  2002-07-16
0x00000f08         0x8  2000-11-01
0x00000f09         0x8  2001-01-04
0x00000f0a        0x13  2002-07-16
0x00000f0a        0x14  2002-07-16
0x00000f0a        0x15  2002-08-21
0x00000f11         0xa  2003-07-29
0x00000f12        0x2d  2003-05-02
0x00000f12        0x2e  2003-05-02
0x00000f12        0x2f  2003-05-02
0x00000f13         0x5  2003-05-08
0x00000f20         0x1  2001-04-23
0x00000f21         0x1  2001-05-29
0x00000f21         0x2  2001-05-29
0x00000f21         0x3  2001-05-29
0x00000f22         0x5  2003-07-29
0x00000f23         0x8  2001-07-30
0x00000f23         0x9  2001-07-30
0x00000f23         0xd  2001-08-17
0x00000f24        0x1e  2003-06-05
0x00000f24        0x1f  2003-06-05
0x00000f24        0x20  2003-06-05
0x00000f24        0x21  2003-06-10
0x00000f25        0x29  2004-08-11
0x00000f25        0x2a  2004-08-11
0x00000f25        0x2b  2004-08-11
0x00000f25        0x2c  2004-08-26
0x00000f26        0x10  2004-08-05
0x00000f27        0x37  2003-06-04
0x00000f27        0x38  2003-06-04
0x00000f27        0x39  2003-06-04
0x00000f29        0x2d  2004-08-11
0x00000f29        0x2e  2004-08-11
0x00000f29        0x2f  2004-08-11
0x00000f30         0xe  2003-06-24
0x00000f30        0x12  2003-08-13
0x00000f30        0x13  2003-08-15
0x00000f31         0x1  2003-07-25
0x00000f31         0xb  2003-10-21
0x00000f32         0xa  2004-05-11
0x00000f33         0xc  2005-04-21
0x00000f34         0x8  2004-02-10
0x00000f34        0x12  2004-06-30
0x00000f34        0x17  2005-04-21
0x00000f36         0x7  2004-03-09
0x00000f37         0x2  2003-12-09
0x00000f37         0x3  2003-12-18
0x00000f40         0x6  2004-03-18
0x00000f41        0x16  2005-04-21
0x00000f41        0x17  2005-04-22
0x00000f42         0x3  2005-04-21
0x00000f43         0x5  2005-04-21
0x00000f44         0x6  2005-04-21
0x00000f46         0x4  2005-04-11
0x00000f47         0x3  2005-04-21
0x00000f48         0x7  2005-06-30
0x00000f48         0xc  2006-05-08
0x00000f48         0xe  2008-01-15
0x00000f49         0x3  2005-04-21
0x00000f4a         0x2  2005-06-10
0x00000f4a         0x4  2005-12-14
